question_id,predicted_query,predicted_database,feedbacks,errors,is_correct
479,,,[],[],[0]
1057,,,[],[],[0]
1367,"SELECT AVG(""FRPM Count (Ages 5-17)"") FROM schools, frpm WHERE schools.""Column name: School Name"" = ""Kacey Gibson"" AND frpm.""Column name: School Name"" = ""Kacey Gibson"" AND schools.""Column name: Charter"" = ""No"" AND schools.""Column name: CharterNum"" = ""None"" AND frpm.""Column name: Charter School (Y/N)"" = ""N"" AND frpm.""Column name: Charter Funding Type"" = ""None"" AND schools.""Column name: Charter"" = ""No"" AND schools.""Column name: CharterNum"" = ""None"" AND frpm.""Column name: Charter School (Y/N)"" = ""N"" AND frpm.""Column name: Charter Funding Type"" = ""None"" AND frpm.""Column name: Student Type"" = ""Student"" AND frpm.""Column name: Low Grade"" = 5 AND frpm.""Column name: High Grade"" = 17 AND frpm.""Column name: Percent (%) Eligible FRPM (Ages 5-17)"" = 0 AND frpm.""Column name:  Percent (%) Eligible Free (Ages 5-17)"" = 0;",california_schools,"[{'query_result': '([(None,)], 0.0006591249839402735)', 'is_correct': False, 'feedback': ""The query did not return the expected result. There seems to be a syntax error in the query with the double quotes around column names. Additionally, the 'FRPM Count (Ages 5-17)' column name should be corrected. It is also important to filter by the 'Student Type' to only include students."", 'updated_query': ""SELECT AVG(FRPM_Count_Ages_5_17) FROM frpm WHERE School_Name = 'Kacey Gibson' AND Low_Grade = 5 AND High_Grade = 17 AND Student_Type = 'Student';""}, {'query_result': '([(None,)], 0.0012362079869490117)', 'is_correct': False, 'feedback': ""The query did not return the expected result. There seems to be an issue with the aggregation function and the filtering conditions. The 'Student Type' field is not properly used for filtering. Also, the aggregation function is not correctly specified."", 'updated_query': ""SELECT AVG(frpm.'FRPM Count (Ages 5-17)') FROM frpm INNER JOIN schools ON frpm.'CDSCode' = schools.'CDSCode' WHERE schools.'School Name' = 'Kacey Gibson' AND schools.'Low Grade' = 5 AND schools.'High Grade' = 17 AND frpm.'Student Type' = 'Student';""}, {'query_result': '([(None,)], 2.3667002096772194e-05)', 'is_correct': False, 'feedback': ""The query did not return the expected result. There seems to be a syntax error in the query, and the filtering conditions might not be correctly applied. Also, the field 'Student Type' should be checked for the value 'Student' instead of 'Student'."", 'updated_query': ""SELECT AVG(`FRPM Count (Ages 5-17)`) FROM california_schools WHERE `County` = 'Kacey Gibson County' AND `School` = 'Kacey Gibson School' AND `Student Type` = 'Student' AND `Age` BETWEEN 5 AND 17;""}, {'Natural Language Prompt/ Original Question': 'What is the free rate for students between the ages of 5 and 17 at the school run by Kacey Gibson?', 'Syntactically Incorrect SQL Query': ""SELECT free_rate FROM schools WHERE age BETWEEN 5 AND 17 AND School Name = 'Kacey Gibson';"", 'Error Message': 'Error executing query: no such column: schools.Column name: School Name', 'Error Position': ""The error is in the WHERE clause where 'School Name' is used without proper syntax."", 'Specific Error': ""Using 'School Name' as a column name without backticks or double quotes."", 'Advise': ""Enclose the column name 'School Name' in backticks or double quotes in the WHERE clause to specify it as a column properly. For example, WHERE age BETWEEN 5 AND 17 AND `School Name` = 'Kacey Gibson';""}]",['Error executing query: no such column: schools.Column name: School Name'],[0]
298,,,[],[],[0]
651,"SELECT ""School"", ""MailZip"" FROM schools WHERE ""AdmFName1"" = 'Avetik' AND ""AdmLName1"" = 'Atoian';",california_schools,"[{'query_result': ""([('Fairview Middle', '93926-0238')], 0.003595457994379103)"", 'is_correct': True, 'feedback': ""No changes needed. The query accurately retrieves the schools and their mailing zip codes under Avetik Atoian's administration."", 'updated_query': None}]",[],[1]
1145,SELECT COUNT(*) FROM schools WHERE `County` = 'Stanislaus' AND `OpenDate` BETWEEN '1/1/2000' AND '12/31/2005' AND `FundingType` LIKE '%Directly Funded%';,california_schools,"[{'query_result': '([(0,)], 0.004584750015055761)', 'is_correct': False, 'feedback': ""The query did not return the expected result. There might be issues with the date format in the 'OpenDate' field and the use of double quotes instead of single quotes for column names. Additionally, the 'FundingType' condition may need to be adjusted to capture all directly funded schools."", 'updated_query': ""SELECT COUNT(*) FROM schools WHERE OpenDate BETWEEN '2000-01-01' AND '2005-12-31' AND County = 'Stanislaus' AND FundingType LIKE '%Directly Funded%';""}, {'query_result': '([(0,)], 0.005266624997602776)', 'is_correct': False, 'feedback': ""The query did not return any results, indicating there might be an issue with the filtering conditions. The 'FundingType' condition might not be correctly filtering for 'Directly Funded' schools. Additionally, the date range condition may not be inclusive of the end date. Consider revising the query to ensure accurate filtering."", 'updated_query': ""SELECT COUNT(*) FROM schools WHERE OpenDate >= '2000-01-01' AND OpenDate <= '2005-12-31' AND FundingType LIKE '%Directly Funded%' AND County = 'Stanislaus';""}, {'query_result': '([(0,)], 0.0020977499953005463)', 'is_correct': False, 'feedback': 'The query did not return the expected result. There might be issues with the syntax of the query, such as using double quotes for column names instead of backticks or single quotes. Additionally, the date format in the WHERE clause might not be recognized correctly. Check and correct these issues.', 'updated_query': ""SELECT COUNT(*) FROM schools WHERE `County` = 'Stanislaus' AND `OpenDate` BETWEEN '2000-01-01' AND '2005-12-31' AND `FundingType` = 'Directly Funded';""}, {'query_result': '([(0,)], 0.0019134579924866557)', 'is_correct': False, 'feedback': ""The query did not return any results, indicating there might be an issue with the filtering conditions. It's possible that the date format is not recognized correctly or the 'FundingType' field is not properly filtered. Consider revising the date format and the 'FundingType' filter."", 'updated_query': ""SELECT COUNT(*) FROM schools WHERE `County` = 'Stanislaus' AND `OpenDate` BETWEEN '2000-01-01' AND '2005-12-31' AND `FundingType` LIKE '%Directly Funded%';""}]",[],[0]
1165,,,[],[],[0]
494,,,[],[],[0]
1126,SELECT amount FROM trans WHERE trans.account_id = '3356' AND trans.type = 'withdrawal' AND trans.operation = 'cash';,financial,"[{'query_result': '([], 0.036941375001333654)', 'is_correct': False, 'feedback': ""The query did not return any results, which indicates there might be issues with the syntax and filtering. The 'amount' field should be selected, and the comparison operators should be used correctly."", 'updated_query': ""SELECT amount FROM trans WHERE account_id = 3356 AND type = 'Cash Withdrawal';""}, {'query_result': '([], 0.05028079199837521)', 'is_correct': False, 'feedback': ""The query did not return any results, and there seems to be a syntax error in the SQL query. The field names should not be enclosed in double quotes. Also, the condition for 'type' should be 'withdrawal' instead of '-'."", 'updated_query': ""SELECT amount FROM trans WHERE type = 'withdrawal' AND account_id = 3356;""}, {'query_result': '([], 0.051445916993543506)', 'is_correct': False, 'feedback': 'The query did not return any results, but there should be withdrawals in cash transactions made by the client with id 3356. The issue is with the incorrect use of double quotes around column names and values in the WHERE clause. Double quotes are not standard in SQL, use single quotes for string values. Also, ensure that the column names are correct.', 'updated_query': ""SELECT amount FROM trans WHERE type = 'withdrawal' AND operation = 'cash' AND account_id = 3356;""}, {'query_result': '([], 0.05349287501303479)', 'is_correct': False, 'feedback': ""The query did not return any results, but there should be withdrawals in cash transactions made by the client with id 3356. Check if the 'operation' field is correctly filtered along with 'type'."", 'updated_query': ""SELECT amount FROM trans WHERE trans.account_id = '3356' AND trans.type = 'withdrawal' AND trans.operation = 'cash' AND trans.amount < 0;""}]",[],[0]
1292,,,[],[],[0]
