input_texts,predicted_queries,databases,target_queries,correct
"Among the cards with converted mana cost higher than 5 in the set Coldsnap, how many of them have unknown power?",SELECT COUNT(*) FROM cards WHERE convertedManaCost > 5 AND power = 'Unknown' AND setCode = 'CSP';,card_games,SELECT SUM(CASE WHEN T1.power LIKE '*' OR T1.power IS NULL THEN 1 ELSE 0 END) FROM cards AS T1 INNER JOIN sets AS T2 ON T2.code = T1.setCode WHERE T2.name = 'Coldsnap' AND T1.convertedManaCost > 5,0
Calculate the average home team goal in the 2010/2011 season in the country of Poland.,SELECT AVG(home_team_goal) FROM Match WHERE season = '2010/2011' AND country_id = (SELECT id FROM Country WHERE name = 'Poland');,european_football_2,SELECT CAST(SUM(t2.home_team_goal) AS REAL) / COUNT(t2.id) FROM Country AS t1 INNER JOIN Match AS t2 ON t1.id = t2.country_id WHERE t1.name = 'Poland' AND t2.season = '2010/2011',1
Which college do most of the members go to?,"SQL

SELECT college
FROM major
WHERE major_name = 'member' 
GROUP BY college 
ORDER BY COUNT(*) DESC 
LIMIT 1;",student_club,SELECT T2.college FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id GROUP BY T2.major_id ORDER BY COUNT(T2.college) DESC LIMIT 1,0
Calculate the percentage of molecules containing carcinogenic compounds that element is hydrogen.,SELECT (CAST(COUNT(DISTINCT(molecule_id)) AS REAL) / CAST((SELECT COUNT(DISTINCT(molecule_id)) FROM molecule) AS REAL)) * 100 AS percentage FROM atom WHERE element = 'hydrogen' AND molecule_id IN (SELECT molecule_id FROM molecule WHERE label LIKE '%carcinogenic%');,toxicology,SELECT CAST(COUNT(CASE WHEN T1.element = 'h' AND T2.label = '+' THEN T2.molecule_id ELSE NULL END) AS REAL) * 100 / COUNT(T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id,0
"Provide the related post title of ""How to tell if something happened in a data set which monitors a value over time"".","SELECT ""Post Title"" FROM 'thrombosis_prediction' WHERE ""Post Title"" LIKE '%How to tell if something has happened in a data set which monitors a value over time%';",thrombosis_prediction,SELECT T3.Title FROM postLinks AS T1 INNER JOIN posts AS T2 ON T1.PostId = T2.Id INNER JOIN posts AS T3 ON T1.RelatedPostId = T3.Id WHERE T2.Title = 'How to tell if something happened in a data set which monitors a value over time',0
Which top 4 leagues had the most games in the 2015-2016 season?,"SELECT name, COUNT(name) AS game_count 
        FROM Match 
        JOIN League ON Match.league_id = League.id 
        WHERE season = ""2015/2016"" 
        GROUP BY name 
        ORDER BY game_count DESC 
        LIMIT 4;",european_football_2,SELECT t1.name FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id WHERE t2.season = '2015/2016' GROUP BY t1.name ORDER BY COUNT(t2.id) DESC LIMIT 4,0
What is the age gap between the youngest and oldest patient with a normal triglyceride recorded?,SELECT MAX(Birthday) - MIN(Birthday) FROM Patient WHERE Triglyceride = 'normal';,thrombosis_prediction,"SELECT STRFTIME('%Y', MAX(T1.Birthday)) - STRFTIME('%Y', MIN(T1.Birthday)) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.TG >= 200",0
For all cards illustrated by Jim Pavelec. and describe the text of the ruling of these cards. Do these cards have missing or degraded properties and values.,"SELECT c.name, c.rarity, c.mana_cost, c.power, c.toughness, r.text, c.colorIdentity, c.colors, c.types, c.subtypes, c.keywords FROM cards c JOIN rulings r ON c.id = r.id WHERE c.artist = 'Jim Pavelec' AND c.mana_cost IS NULL OR c.power IS NULL OR c.toughness IS NULL OR c.colorIdentity IS NULL OR c.colors IS NULL OR c.types IS NULL OR c.subtypes IS NULL OR c.keywords IS NULL;",card_games,"SELECT T2.text , CASE WHEN T1.hasContentWarning = 1 THEN 'YES' ELSE 'NO' END FROM cards AS T1 INNER JOIN rulings AS T2 ON T2.uuid = T1.uuid WHERE T1.artist = 'Jim Pavelec'",0
State the name of players who came from Belgium.,"SQL Query:

        SELECT player_name FROM Player WHERE country_of_origin = 'Belgium';",european_football_2,SELECT t3.player_name FROM Country AS t1 INNER JOIN Match AS t2 ON t1.id = t2.country_id INNER JOIN Player AS t3 ON t2.home_player_1 = t3.player_api_id WHERE t1.name = 'Belgium',0
What is the anti Cardiolipin antibody concentration of the female patient with the highest uric acid level in the normal range?,"SELECT Examination.""aCL IgG"" FROM Examination JOIN Patient ON Examination.ID = Patient.ID WHERE Patient.SEX = 'female' AND Examintaion.""aCL IgM"" = 'normal' AND Examination.""aCL IgA"" = 'normal' ORDER BY Patient.""uric acid level"" DESC LIMIT 1;",thrombosis_prediction,"SELECT T3.`aCL IgG`, T3.`aCL IgM`, T3.`aCL IgA` FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID INNER JOIN Examination AS T3 ON T3.ID = T2.ID WHERE T1.SEX = 'F' AND T2.UA > 6.5 ORDER BY T2.UA DESC LIMIT 1",0
"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",SELECT COUNT(*) FROM satscores JOIN schools ON schools.cds = satscores.cds WHERE satscores.AvgScrMath > 560 AND schools.charter = 'Direct';,california_schools,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',0
What is the average number of crimes committed in 1995 in regions where the number exceeds 4000 and the region has accounts that are opened starting from the year 1997?,SELECT AVG(crimes) FROM trans WHERE year = 1995 AND number > 4000 AND account_id IN (SELECT account_id FROM account WHERE date >= '1997-01-01');,financial,"SELECT AVG(T1.A15) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) >= '1997' AND T1.A15 > 4000",0
How many patients with a normal Ig A level came to the hospital after 1990/1/1?,SELECT COUNT(*) FROM Patient p JOIN Examination e ON p.ID = e.PatientID WHERE e.aCL_IgA = 'normal' AND e.Examination_Date > '1990-01-01';,thrombosis_prediction,"SELECT COUNT(T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.IGA BETWEEN 80 AND 500 AND  strftime('%Y',  T1.`First Date`) > '1990'",0
How many posts have a score of 10 on the list?,SELECT COUNT(*) FROM posts WHERE Score = 10;,codebase_community,SELECT COUNT(id) FROM posts WHERE Score = 10,1
How many female superheroes are in Marvel Comics?,SELECT COUNT(*) FROM superhero INNER JOIN publisher ON superhero.publisher_id = publisher.id INNER JOIN gender ON superhero.gender_id = gender.id WHERE publisher.publisher_name = 'Marvel Comics' AND gender.gender = 'Female';,superhero,SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN gender AS T3 ON T1.gender_id = T3.id WHERE T2.publisher_name = 'Marvel Comics' AND T3.gender = 'Female',1
"How many cards are there in the base set of ""Hauptset Zehnte Edition""?",,,SELECT T1.baseSetSize FROM sets AS T1 INNER JOIN set_translations AS T2 ON T2.setCode = T1.code WHERE T2.translation = 'Hauptset Zehnte Edition',0
List the keyrune code for the set whose code is 'PKHC'.,SELECT keyrune_code FROM sets WHERE set_code = 'PKHC';,codebase_community,SELECT keyruneCode FROM sets WHERE code = 'PKHC',0
"How many football players born after the 1990s have the first name ""Aaron""?",SELECT COUNT(*) FROM Player WHERE player_name LIKE 'Aaron%' AND birthday > '1990-01-01';,european_football_2,SELECT COUNT(id) FROM Player WHERE birthday > '1990' AND player_name LIKE 'Aaron%',1
"Among the users who have more than 100 upvotes, how many of them have more then 1 downvotes?",SELECT COUNT(*) FROM users WHERE UpVotes > 100 AND DownVotes > 1;,codebase_community,SELECT COUNT(Id) FROM users WHERE Upvotes > 100 AND Downvotes > 1,1
What is the average lap time in milliseconds of all the lap records set on the various circuits in Italy?,SELECT AVG(milliseconds) FROM lapTimes INNER JOIN circuits ON lapTimes.raceId = circuits.circuitId WHERE country = 'Italy';,formula_1,SELECT CAST(SUM(T1.milliseconds) AS REAL) / COUNT(T1.lap) FROM lapTimes AS T1 INNER JOIN races AS T2 on T1.raceId = T2.raceId INNER JOIN circuits AS T3 on T2.circuitId = T3.circuitId WHERE T3.country = 'Italy',0
State the sex and birthday of patient ID '163109'. When was the examination taken and what symptom does the patient had.,"SELECT Patient.SEX, Patient.Birthday, Examination.Examination_Date, Examination.Symptoms FROM Patient INNER JOIN Examination ON Patient.ID = Examination.ID WHERE Patient.ID = '163109';",thrombosis_prediction,"SELECT T1.SEX, T1.Birthday, T2.`Examination Date`, T2.Symptoms FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE T1.ID = 163109",0
Please specify all of the schools and their related mailing zip codes that are under Avetik Atoian's administration.,"SELECT School, MailZip FROM schools WHERE AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian';",california_schools,"SELECT School, MailZip FROM schools WHERE AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian'",1
