question_id,predicted_query,predicted_database,feedbacks,errors,is_correct,run_status
479,,,[],[],[0],error
1057,,,[],[],[0],error
1367,,,[],[],[0],error
298,,,[],[],[0],error
651,"SELECT
  School,
  MailZip
FROM schools
WHERE
  AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian';",california_schools,"[{'query_result': '[[\\""Fairview Middle\\"", \\""93926-0238\\""]]', 'is_correct': True, 'feedback': 'No changes needed. The query is accurate.', 'updated_query': None}]",[],[1],exited_normally
1145,SELECT COUNT(*) FROM schools WHERE lower(County) = 'stanislaus' AND lower(FundingType) = 'directly funded' AND OpenDate BETWEEN '2000-01-01' AND '2005-12-31',california_schools,"[{'query_result': '""[[0]]""', 'is_correct': False, 'feedback': ""The query returned 0 results, which might indicate an issue with the data or filtering. It's unlikely that no directly funded schools opened in Stanislaus County between 2000 and 2005. Verify the case sensitivity of 'Stanislaus' and 'Directly Funded' as SQL often treats them as case-sensitive. "", 'updated_query': ""SELECT COUNT(*) FROM schools WHERE lower(County) = 'stanislaus'  AND lower(FundingType) = 'directly funded'  AND OpenDate BETWEEN '2000-01-01' AND '2005-12-31';""}, {'query_result': '[[7]]', 'is_correct': True, 'feedback': 'The query correctly returns the number of directly funded schools opened in Stanislaus County between 2000 and 2005.', 'updated_query': None}]",[],[1],exited_normally
1165,,,[],[],[0],error
494,,,[],[],[0],error
1126,,,[],[],[0],error
1292,,,[],[],[0],error
9,,,[],[],[0],error
152,,,[],[],[0],error
1254,,,[],[],[0],error
609,,,[],[],[0],error
823,,,[],[],[0],error
467,,,[],[],[0],error
489,,,[],[],[0],error
