question_id,database,is_correct,difficulty,generated_query,feedback,execution_time,ground_truth_results,generated_results
479,card_games,False,moderate,"SELECT COUNT(*) as count_unknown_power
    FROM cards
    WHERE set = 'Coldsnap' AND converted_mana_cost > 5 AND power IS NULL;","Error executing query: near ""set"": syntax error",,,
1057,european_football_2,False,moderate,"sql_db_list_tables
    sql_db_schema 'matches'
    SELECT AVG(home_team_goals) as avg_goal
    FROM matches
    WHERE season = 2010 AND country = 'Poland' AND home_team IS NOT NULL;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1367,student_club,False,simple,"sql_db_list_tables
    table_name := (result from sql_db_list_tables)
    sql_db_schema ""{$table_name}""
    table_fields := (results from sql_db_schema ""{$table_name}"")
    college_field, member_field := (split the table_fields by ',')
    sql_query := ""SELECT {college_field} FROM {table_name} GROUP BY {college_field} ORDER BY COUNT({member_field}) DESC LIMIT 1""
    sql_db_query_checker ""{sql_query}""
    sql_query","Error executing query: near ""sql_db_list_tables"": syntax error",,,
298,toxicology,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
651,codebase_community,False,simple,SELECT name FROM sqlite_master WHERE type='table';,Query results mismatch,8.091601193882525e-05,"[('Time series for count data, with counts < 20',)]","[('badges',), ('comments',), ('postHistory',), ('postLinks',), ('posts',), ('tags',), ('users',), ('votes',)]"
1145,european_football_2,False,simple,SELECT name FROM sqlite_master WHERE type='table';,Query results mismatch,8.13750084489584e-05,"[('Spain LIGA BBVA',), ('Italy Serie A',), ('France Ligue 1',), ('England Premier League',)]","[('sqlite_sequence',), ('Player_Attributes',), ('Player',), ('League',), ('Country',), ('Team',), ('Team_Attributes',), ('Match',)]"
1165,thrombosis_prediction,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
494,card_games,False,challenging,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1126,european_football_2,False,simple,"sql_db_list_tables

    (Assuming that the list of tables contains 'players')

    sql_db_schema 'players'

    SELECT name FROM players WHERE country = 'Belgium';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1292,thrombosis_prediction,False,challenging,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
9,california_schools,False,simple,"-- List all tables in the database
SELECT name FROM sqlite_master WHERE type='table';",Invalid query generated,,,
152,financial,False,moderate,SELECT name FROM sqlite_master WHERE type='table';,Query results mismatch,2.4542008759453893e-05,"[(29670.44951923077,)]","[('account',), ('card',), ('client',), ('disp',), ('district',), ('loan',), ('order',), ('trans',)]"
1254,thrombosis_prediction,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
609,codebase_community,True,simple,SELECT COUNT(*) FROM posts WHERE score = 10;,Query executed successfully,0.02889825002057478,"[(741,)]","[(741,)]"
823,superhero,False,moderate,"sql_db_list_tables
    sql_db_schema 'table_name'
    SELECT COUNT(*) FROM table_name WHERE gender = 'female' AND character_type = 'superhero' AND universe = 'Marvel Comics';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
467,card_games,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
489,card_games,False,simple,"SELECT table_name FROM sqlite_master WHERE type='table' AND name IN (
    SELECT table_name FROM sqlite_master WHERE type='table'
);

-- After identifying the tables, query their schema to find the relevant one.
SELECT * FROM sql_db_schema('<TABLE NAME FROM PREVIOUS QUERY>');

-- Finally, filter the results to get the rows where the code column equals 'PKHC'.
SELECT * FROM <TABLE NAME FROM PREVIOUS QUERY> WHERE code = 'PKHC';",Invalid query generated,,,
1133,european_football_2,False,simple,"sql_db_list_tables
    sql_db_schema 'football_players'
    sql_db_query 'SELECT COUNT(*) FROM football_players WHERE birthdate > '1990-01-01' AND firstname = ""Aaron"";","Error executing query: near ""sql_db_list_tables"": syntax error",,,
535,codebase_community,True,simple,"SELECT COUNT(*) FROM Users
    WHERE upvotes > 100 AND downvotes > 1;",Query executed successfully,0.004036083002574742,"[(207,)]","[(207,)]"
1019,formula_1,False,moderate,"sql_db_list_tables
    sql_db_schema 'table_name'
    SELECT AVG(lap_time) as avg_lap_time
    FROM table_name
    WHERE country = 'Italy';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1154,thrombosis_prediction,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
54,california_schools,False,simple,"WITH school_admin AS (
    SELECT school_id, admin_id FROM SchoolAdmin WHERE admin_id = (SELECT id FROM Admins WHERE first_name = 'Avetik' AND last_name = 'Atoian')
)

SELECT s.school_name, s.zip_code
FROM Schools AS s
JOIN school_admin ON s.id = school_admin.school_id;",Error executing query: no such table: SchoolAdmin,,,
53,california_schools,False,simple,"SELECT COUNT(*) FROM students
    WHERE mailing_city = 'Fresno';",Error executing query: no such table: students,,,
34,california_schools,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
904,formula_1,False,moderate,"sql_db_list_tables
    sql_db_schema 'races, drivers'
    SELECT race_year, race FROM races
        INNER JOIN (SELECT driver_id, fastest_lap_race_id as race, fastest_lap_race_year as year FROM drivers WHERE driver_name = 'Michael Schumacher') AS fastest_laps
        ON races.race_id = fastest_laps.race
    ORDER BY race_year DESC, race DESC
    LIMIT 1;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
542,codebase_community,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1341,student_club,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
279,toxicology,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
491,card_games,False,simple,"WITH release_date AS (
    SELECT card_set, MIN(release_date) as min_release_date
    FROM MagicCards
    GROUP BY card_set
), card_sets AS (
    SELECT * FROM release_date
)
SELECT card_set
FROM card_sets
WHERE min_release_date = '2017-06-09';",Error executing query: no such table: MagicCards,,,
1314,student_club,False,simple,"SELECT name FROM Student_Club
    INNER JOIN Department ON Student_Club.DepartmentID = Department.DepartmentID
    WHERE Department.DepartmentName = 'Art and Design';",Error executing query: no such table: Student_Club,,,
1161,thrombosis_prediction,False,challenging,SELECT name FROM sqlite_master WHERE type='table';,Query results mismatch,0.0002827499993145466,"[(6.120833333333334,)]","[('Examination',), ('Patient',), ('Laboratory',)]"
268,toxicology,False,challenging,sql_db_list_tables,"Error executing query: near ""sql_db_list_tables"": syntax error",,,
841,superhero,False,simple,"sql_db_list_tables
    sql_db_schema 'superheroes'
    SELECT weight, race FROM superheroes WHERE id = 40;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1102,european_football_2,False,moderate,"sql_db_list_tables("""") -- List all tables in the database

    let table = <Name of the table containing player data>

    sql_db_schema(""$table"") -- Get schema of the selected table

    let birthdate_column = <Column name for the player's birthdate>
    let overall_rating_column = <Column name for the player's overall rating>
    let date_column = <Column name for the date of the overall rating>

    SELECT name, $birthdate_column FROM $table WHERE $overall_rating_column = 77 AND $date_column = '2016-06-23' ORDER BY $birthdate_column DESC LIMIT 1;",Invalid query generated,,,
847,formula_1,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1300,thrombosis_prediction,False,moderate,SELECT name FROM sqlite_master WHERE type='table';,Query results mismatch,1.6166013665497303e-05,"[('SLE',)]","[('Examination',), ('Patient',), ('Laboratory',)]"
1120,european_football_2,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1441,student_club,False,moderate,"SELECT COUNT(*) FROM Members
    WHERE education_major IN ('College of Education & Human Services');",Error executing query: no such table: Members,,,
920,formula_1,False,simple,"SELECT DISTINCT year FROM Race
JOIN Circuit ON Race.circuit_id = Circuit.circuit_id
WHERE Circuit.name = 'Silverstone Circuit' AND Series_Name = 'Formula 1';",Error executing query: no such table: Race,,,
648,codebase_community,False,simple,"SELECT display_name, url, favorite_count
FROM posts
WHERE favorite_count > 150
ORDER BY favorite_count DESC;",Error executing query: no such column: display_name,,,
113,financial,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
686,codebase_community,False,simple,"sql_db_list_tables("""")","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1405,student_club,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
883,formula_1,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
789,superhero,False,simple,"sql_db_list_tables
    sql_db_schema 'heroes'

    SELECT AVG(weight) as avg_weight
    FROM heroes
    WHERE species = 'alien';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
347,card_games,False,moderate,"sql_db_list_tables("""")","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1211,thrombosis_prediction,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1115,european_football_2,False,challenging,"# First, check the tables in the database
SELECT name FROM sqlite_master WHERE type='table';

# Let's assume the table name is 'soccer_players'

# Next, query the schema of the soccer_players table
PRAGMA table_info(soccer_players);

# Based on the schema information, construct a SQL query to compare Landon Donovan and Jordan Bowery's overall ratings on 2013/7/12
SELECT AVG(overall_rating) as avg_rating
FROM soccer_players
WHERE name IN ('Landon Donovan', 'Jordan Bowery') AND date = '2013-07-12';","Error executing query: unrecognized token: ""#""",,,
1045,european_football_2,False,simple,"sql_db_list_tables("""")
    table_names = (<result from sql_db_list_tables>);
    if ""matches"" not in table_names:
        return ""The 'matches' table does not exist. Please check the table names and try again."";

    sql_db_schema(""matches"");
    schema = (<result from sql_db_schema>);
    columns = schema.split("", "");

    if ""attacking_work_rate"" not in [column for column in columns]:
        return ""The 'attacking_work_rate' column does not exist in the 'matches' table. Please check the column names and try again."";

    query = f""SELECT attacking_work_rate FROM matches WHERE player='Franco Zennaro';"";
    (<result from sql_db_query>);","Error executing query: near ""sql_db_list_tables"": syntax error",,,
227,toxicology,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1379,student_club,False,simple,"sql_db_list_tables """"
    (SELECT table_name FROM sql_db_list_tables """") AS t
    WHERE t.table_name IN ('events')
    sql_db_schema 'events'
    SELECT COUNT(*), year(event_date) as event_year
    FROM events
    WHERE event_year = 2020
    GROUP BY event_year","Error executing query: near ""sql_db_list_tables"": syntax error",,,
717,superhero,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
1495,debit_card_specializing,False,simple,"sql_db_list_tables
    sql_db_schema 'table_name'
    SELECT client_id, SUM(amount) as total_consumed
    FROM table_name
    WHERE month = 'September' AND year = 2013
    GROUP BY client_id
    ORDER BY total_consumed DESC
    LIMIT 1;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1131,european_football_2,False,simple,"sql_db_list_tables

    (Assuming 'players' and 'countries' are found)

    sql_db_schema 'players, countries'

    (Assuming columns 'height', 'country_id', 'player_id' in the players table and 'name', 'id' in the countries table)

    SELECT AVG(height) as average_height
    FROM players
    INNER JOIN countries ON players.country_id = countries.id
    WHERE countries.name = 'Italy';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1124,european_football_2,False,moderate,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
692,codebase_community,False,moderate,"sql_db_list_tables("""");
    table_names = (SELECT table_name FROM sqlite_master WHERE type='table');
    relevant_table = """";
    FOR i IN 1:(SELECT COUNT(*) FROM sqlite_master WHERE type='table') {
        IF (PRAGMA TABLE_INFO(table_names[i])['name'] LIKE '%users%' AND PRAGMA TABLE_INFO(table_names[i])['name'] NOT LIKE '%temp%') THEN
            relevant_table = table_names[i];
            break;
        END IF;
    }

    sql_db_schema("""" + relevant_table);
    user_id_column = (SELECT column_name FROM pragma_table_info(relevant_table) WHERE name='display_name' AND type='integer');
    account_created_column = (SELECT column_name FROM pragma_table_info(relevant_table) WHERE name='account_created' AND type='text');
    badge_column = (SELECT column_name FROM pragma_table_info(relevant_table) WHERE name='badge_earned' AND type='integer');

    query = ""SELECT account_created, badge_earned FROM "" + relevant_table + "" WHERE display_name='Zolomon';"";
    sql_db_query(query);

    IF (COUNT(*) > 0) THEN
        date_diff_sql = ""SELECT julianday('now') - julianday(account_created) FROM "" + relevant_table + "" WHERE display_name='Zolomon';"";
        days_since_creation = sql_db_query(date_diff_sql);
        days_since_creation = (SELECT substr(days_since_creation, 1, length(days_since_creation)-3) FROM sqlite_master WHERE name='temp_table');
    END IF;

    IF (COUNT(*) > 0) THEN
        RETURN ""The user 'Zolomon' got the badge on day "" + days_since_creation + "" since his account was created."";
    ELSE
        RETURN ""No data found for user 'Zolomon'."";
    END IF;","Error executing query: near ""sql_db_list_tables"": syntax error",,,
1459,student_club,False,simple,"sql_db_list_tables('') -- List all tables in the database

    let table_names = (result from sql_db_list_tables('')) -- Store the list of tables in a variable

    if table_names contains 'students' then -- Check if students table exists
        sql_db_schema(table_names[indexOf(table_names, 'students')]) -- Get schema for students table

        let student_query = ""SELECT major, department FROM students WHERE name='Garrett Gerke'"" -- Construct SQL query to get the required data
        sql_db_query(student_query) -- Execute the constructed SQL query",Invalid query generated,,,
452,card_games,False,simple,SELECT name FROM cards WHERE has_textbox = 1;,Error executing query: no such column: has_textbox,,,
916,formula_1,False,simple,"sql_db_list_tables
    sql_db_schema 'table_name'
    SELECT surname FROM table_name WHERE nationality = 'Italian';","Error executing query: near ""sql_db_list_tables"": syntax error",,,
66,california_schools,False,simple,SELECT name FROM sqlite_master WHERE type='table';,Query results mismatch,5.2709016017615795e-05,"[(7,)]","[('frpm',), ('satscores',), ('schools',)]"
442,card_games,False,simple,sql_db_list_tables(''),"Error executing query: near ""sql_db_list_tables"": syntax error",,,
427,card_games,False,moderate,"-- First, list all tables to see what we have
SELECT name FROM sqlite_master WHERE type='table';

-- Next, check the schema of the table that seems relevant for our question (e.g. 'cards')
SELECT * FROM cards;

-- Finally, construct a query to get the required information from the table
SELECT name FROM cards WHERE set_code = 'ARC' AND type = 'Language';",Invalid query generated,,,
1044,european_football_2,False,simple,"SELECT * FROM Players
    WHERE birthyear = 1970 AND birthmonth = 'October';",Error executing query: no such table: Players,,,
