question_id,is_correct,difficulty,successful_run,feedback
479,True,moderate,True,"The query correctly answers the question by: 1) Filtering for cards from the Coldsnap set through a join with the sets table, 2) Checking for converted mana cost > 5, 3) Counting cards where power is either '*' or NULL using a CASE statement, and 4) Using SUM to get the total count. The result of 6 cards matching these criteria appears valid."
1057,True,moderate,True,"The query correctly calculates the average number of home team goals in Poland during the 2010/2011 season. It joins the Country and Match tables appropriately, filters for Poland and the specific season, and performs the average calculation using SUM/COUNT. The result appears reasonable for average goals per match."
1367,False,simple,True,"The query has two main issues: 1) It's grouping by major_id but selecting college, which could lead to incorrect aggregation. 2) The grouping should be by college since we want to find which college has the most members. The current query might not give the correct count because it's grouping by major_id instead of college."
298,True,moderate,True,"The query correctly calculates the percentage of carcinogenic molecules containing hydrogen. It uses: 1) A CASE statement to count molecules where element is 'h' AND the molecule is carcinogenic (label = '+'), 2) Divides by total number of molecules and multiplies by 100 to get percentage, 3) Uses CAST AS REAL to ensure decimal division. The result shows approximately 17.22% of carcinogenic molecules contain hydrogen."
651,True,simple,True,"The query correctly retrieves the related post title by joining the postLinks table with the posts table twice - once for the original post and once for the related post. The WHERE clause correctly filters for the specific post title we're looking for, and returns the title of the related post. The joins and relationships are properly established using PostId and RelatedPostId."
1145,True,simple,True,"The query correctly identifies the top 4 leagues with the most games in the 2015/2016 season. It properly joins the League and Match tables, filters for the correct season, groups by league name, and orders by the count of matches in descending order. The LIMIT 4 ensures we get only the top 4 leagues. While the count of games isn't shown in the results, the ordering is correct based on the COUNT(t2.id) in the query."
1165,False,moderate,True,"The query has two main issues: 1) It's looking for triglycerides >= 200, which represents abnormal levels (normal TG levels are typically < 150 mg/dL). 2) The age calculation using STRFTIME might not be as accurate as it only considers years, not months and days. Also, we want normal triglyceride levels, not elevated ones."
494,True,challenging,True,"The query effectively retrieves the rulings text for cards illustrated by Jim Pavelec and includes a check for content warnings (hasContentWarning flag). The query joins the cards and rulings tables correctly using the uuid field, and provides both the ruling text and an indication of whether the card has any content warnings ('YES'/'NO'). The results show detailed rulings about game mechanics, indicating that the cards' properties and values are well-documented and complete. Based on the results, none of the cards appear to have missing or degraded properties."
1126,False,simple,True,"The current query has several issues: 1) It only looks at home_player_1, missing other player positions and away team players. 2) It joins through Match table which might introduce duplicates and isn't necessary to find players from Belgium. 3) A player's nationality should be directly linked to the player table, not derived from matches they played in Belgian leagues."
1292,False,challenging,True,"The query has several issues: 1. It's filtering for uric acid > 6.5, which appears to be looking for values above normal range, not within normal range. 2. The normal range for uric acid should be explicitly defined (typically 2.4-6.0 mg/dL for females). 3. The query should include a BETWEEN clause to capture values within the normal range."
9,True,simple,True,"The query correctly answers the question by: 1) Joining the satscores and frpm tables using the appropriate key (cds and CDSCode), 2) Filtering for schools with Math scores above 560, 3) Filtering for directly funded charter schools, and 4) Counting the number of schools that meet these criteria. The result shows that there are 2 such schools, which is a reasonable outcome given the specific criteria."
152,True,moderate,True,"The query correctly answers the question by: 1) Joining district and account tables to connect regions with their accounts, 2) Filtering accounts opened from 1997 (STRFTIME('%Y', T2.date) >= '1997'), 3) Filtering regions with crimes exceeding 4000 (T1.A15 > 4000), and 4) Calculating the average number of crimes (AVG(T1.A15)). The logic and implementation are sound and provide the expected result."
1254,True,moderate,True,"The query correctly addresses the question by: 1) Joining Patient and Laboratory tables to get IgA levels and dates, 2) Filtering for normal IgA levels (80-500), 3) Filtering dates after 1990/1/1, and 4) Counting unique patient IDs. The result shows 1590 patients meeting these criteria. The use of strftime for date comparison is appropriate, though a direct date comparison might be more precise."
609,True,simple,True,"The query correctly counts the number of posts that have a score of exactly 10. The query uses COUNT(id) which is appropriate for counting distinct posts, and the WHERE clause correctly filters for posts with Score = 10. The result shows that there are 741 posts meeting this criterion."
823,True,moderate,True,"The query correctly identifies the number of female superheroes in Marvel Comics. It properly joins the superhero table with publisher and gender tables, filters for Marvel Comics publisher and female gender, and counts the results. The query uses appropriate joins and filtering conditions to get the exact count."
467,True,simple,True,The query correctly retrieves the base set size for 'Hauptset Zehnte Edition' by joining the sets table with set_translations table. The result shows that there are 383 cards in this base set. The query uses appropriate joins and filtering conditions to get the exact information requested.
489,True,simple,True,The query correctly retrieves the keyrune code 'KHC' for the set with code 'PKHC'. The query is using the appropriate table (sets) and filters the results correctly using the code field. The result contains exactly what was asked for in the original question.
1133,True,simple,True,The query correctly finds the count of players named Aaron born after 1990. The query uses appropriate filtering with the LIKE operator for the first name 'Aaron' and correctly filters birthdays after 1990. The result shows 9 players matching these criteria.
535,True,simple,True,"The query correctly answers the original question. It filters users with more than 100 upvotes and more than 1 downvote, then counts the number of such users. The result shows that 207 users meet these criteria. The query uses appropriate conditions (Upvotes > 100 AND Downvotes > 1) and returns a single count value as expected."
1019,False,moderate,False,LLM Failure
1154,True,simple,True,"The query correctly retrieves all requested information for patient ID 163109. It includes the patient's sex (F), birthday (1950-10-16), examination date (1997-07-01), and symptom (CNS lupus). The JOIN between Patient and Examination tables is appropriate, and the WHERE clause correctly filters for the specific patient ID. The query structure and results align perfectly with the original question."
54,True,simple,True,"The query correctly retrieves the school and mailing zip code for schools administered by Avetik Atoian. The query uses appropriate filtering on both first name (AdmFName1) and last name (AdmLName1) to identify the correct administrator, and returns the relevant School and MailZip fields. The result shows one school under his administration, which appears to be accurate."
