question_id,is_correct,successful_run,feedback
1859,False,False,Error executing query: Database with name planet_1 not found.
1659,False,False,Error executing query: Database with name institution_sports not found.
477,False,False,Error executing query: Database with name cre_Students_Information_Systems not found.
259,False,False,Error executing query: Database with name customers_and_orders not found.
1708,False,False,Error executing query: Database with name warehouse_1 not found.
1056,False,False,Error executing query: Database with name conference not found.
2060,False,False,Error executing query: Database with name advertising_agencies not found.
1362,False,False,Error executing query: Database with name country_language not found.
1751,False,False,Error executing query: Database with name warehouse_1 not found.
1015,False,False,Error executing query: Database with name aan_1 not found.
905,False,False,Error executing query: Database with name boat_1 not found.
569,False,False,Error executing query: Database with name book_1 not found.
536,False,False,Error executing query: Database with name book_1 not found.
2142,False,False,Error executing query: Database with name advertising_agencies not found.
2124,False,False,Error executing query: Database with name advertising_agencies not found.
1801,False,False,Error executing query: Database with name university_rank not found.
1379,False,False,Error executing query: Database with name country_language not found.
342,False,False,Error executing query: Database with name region_building not found.
76,False,False,Error executing query: Database with name e_commerce not found.
453,False,False,Error executing query: Database with name cre_Students_Information_Systems not found.
135,False,False,Error executing query: Database with name bbc_channels not found.
1873,False,False,Error executing query: Database with name planet_1 not found.
896,False,False,Error executing query: Database with name boat_1 not found.
1903,False,False,Error executing query: Database with name planet_1 not found.
1756,False,False,Error executing query: Database with name warehouse_1 not found.
1895,False,False,Error executing query: Database with name planet_1 not found.
962,False,False,Error executing query: Database with name headphone_store not found.
1609,False,False,Error executing query: Database with name car_racing not found.
1743,False,False,Error executing query: Database with name warehouse_1 not found.
1235,False,False,Error executing query: Database with name art_1 not found.
39,False,False,Error executing query: Database with name soccer_3 not found.
251,False,False,Error executing query: Database with name customers_and_orders not found.
1793,False,False,Error executing query: Database with name university_rank not found.
1082,False,False,Error executing query: Database with name conference not found.
987,False,False,Error executing query: Database with name aan_1 not found.
661,False,False,Error executing query: Database with name cre_Doc_and_collections not found.
1507,False,False,Error executing query: Database with name bakery_1 not found.
317,False,False,Error executing query: Database with name region_building not found.
703,False,False,Error executing query: Database with name cre_Doc_and_collections not found.
475,False,False,Error executing query: Database with name cre_Students_Information_Systems not found.
1600,False,False,Error executing query: Database with name car_racing not found.
1414,False,False,Error executing query: Database with name real_estate_rentals not found.
1339,False,False,Error executing query: Database with name car_road_race not found.
264,False,False,Error executing query: Database with name customers_and_orders not found.
1936,False,False,Error executing query: Database with name video_game not found.
953,False,False,Error executing query: Database with name headphone_store not found.
1530,False,False,Error executing query: Database with name bakery_1 not found.
682,False,False,Error executing query: Database with name cre_Doc_and_collections not found.
474,False,False,Error executing query: Database with name cre_Students_Information_Systems not found.
1937,False,False,Error executing query: Database with name video_game not found.
609,False,False,Error executing query: Database with name book_review not found.
1255,False,False,Error executing query: Database with name art_1 not found.
1845,False,False,Error executing query: Database with name movie_2 not found.
418,False,False,Error executing query: Database with name vehicle_rent not found.
425,False,False,Error executing query: Database with name vehicle_rent not found.
2040,False,False,Error executing query: Database with name cre_Doc_Workflow not found.
1635,False,False,Error executing query: Database with name car_racing not found.
565,False,False,Error executing query: Database with name book_1 not found.
1712,False,False,Error executing query: Database with name warehouse_1 not found.
1785,False,False,Error executing query: Database with name university_rank not found.
1132,False,False,Error executing query: Database with name pilot_1 not found.
2109,False,False,Error executing query: Database with name advertising_agencies not found.
1523,False,False,Error executing query: Database with name bakery_1 not found.
893,False,False,Error executing query: Database with name boat_1 not found.
1615,False,False,Error executing query: Database with name car_racing not found.
1060,False,False,Error executing query: Database with name conference not found.
518,False,False,Error executing query: Database with name book_1 not found.
1717,False,False,Error executing query: Database with name warehouse_1 not found.
1952,False,False,Error executing query: Database with name video_game not found.
1218,False,False,Error executing query: Database with name art_1 not found.
583,False,False,Error executing query: Database with name book_1 not found.
48,False,False,Error executing query: Database with name e_commerce not found.
1983,False,False,Error executing query: Database with name book_press not found.
156,False,False,Error executing query: Database with name vehicle_driver not found.
1673,False,False,Error executing query: Database with name institution_sports not found.
2146,False,False,Error executing query: Database with name advertising_agencies not found.
1196,False,False,Error executing query: Database with name district_spokesman not found.
582,False,False,Error executing query: Database with name book_1 not found.
1654,False,False,Error executing query: Database with name institution_sports not found.
666,False,False,Error executing query: Database with name cre_Doc_and_collections not found.
1650,False,False,Error executing query: Database with name institution_sports not found.
806,False,False,Error executing query: Database with name address_1 not found.
862,False,False,Error executing query: Database with name boat_1 not found.
1607,False,False,Error executing query: Database with name car_racing not found.
148,False,False,Error executing query: Database with name tv_shows not found.
1856,False,False,Error executing query: Database with name planet_1 not found.
501,False,False,Error executing query: Database with name cre_Students_Information_Systems not found.
200,False,False,Error executing query: Database with name online_exams not found.
935,False,False,Error executing query: Database with name headphone_store not found.
1495,False,False,Error executing query: Database with name bakery_1 not found.
2126,False,False,Error executing query: Database with name advertising_agencies not found.
1126,False,False,Error executing query: Database with name pilot_1 not found.
70,False,False,Error executing query: Database with name e_commerce not found.
557,False,False,Error executing query: Database with name book_1 not found.
1559,False,False,Error executing query: Database with name bakery_1 not found.
572,False,False,Error executing query: Database with name book_1 not found.
720,False,False,Error executing query: Database with name cre_Doc_and_collections not found.
1711,False,False,Error executing query: Database with name warehouse_1 not found.
361,False,False,Error executing query: Database with name government_shift not found.
1145,False,False,Error executing query: Database with name pilot_1 not found.
