db_id,SQL,query_toks,query_toks_no_value,question,question_toks,sql,question_id,execution_time
planet_1,"SELECT POSITION FROM Employee WHERE Name  =  ""Amy Wong"";","['SELECT', 'POSITION', 'FROM', 'Employee', 'WHERE', 'Name', '=', '``', 'Amy', 'Wong', ""''"", ';']","['select', 'position', 'from', 'employee', 'where', 'name', '=', 'value']",What is the position of Amy Wong?,"['What', 'is', 'the', 'position', 'of', 'Amy', 'Wong', '?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 3, False], None]]]], 'where': [[False, 2, [0, [0, 2, False], None], '""Amy Wong""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1859,5.38050539255368e-06
institution_sports,SELECT T1.Nickname FROM championship AS T1 JOIN institution AS T2 ON T1.Institution_ID  =  T2.Institution_ID ORDER BY T2.Enrollment ASC LIMIT 1,"['SELECT', 'T1.Nickname', 'FROM', 'championship', 'AS', 'T1', 'JOIN', 'institution', 'AS', 'T2', 'ON', 'T1.Institution_ID', '=', 'T2.Institution_ID', 'ORDER', 'BY', 'T2.Enrollment', 'ASC', 'LIMIT', '1']","['select', 't1', '.', 'nickname', 'from', 'championship', 'as', 't1', 'join', 'institution', 'as', 't2', 'on', 't1', '.', 'institution_id', '=', 't2', '.', 'institution_id', 'order', 'by', 't2', '.', 'enrollment', 'asc', 'limit', 'value']",What is the nickname of the institution with the smallest enrollment?,"['What', 'is', 'the', 'nickname', 'of', 'the', 'institution', 'with', 'the', 'smallest', 'enrollment', '?']","{'from': {'table_units': [['table_unit', 1], ['table_unit', 0]], 'conds': [[False, 2, [0, [0, 12, False], None], [0, 1, False], None]]}, 'select': [False, [[0, [0, [0, 13, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 8, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",1659,8.034152672579041e-06
cre_Students_Information_Systems,"SELECT datetime_detention_start ,  datetime_detention_end FROM Detention","['SELECT', 'datetime_detention_start', ',', 'datetime_detention_end', 'FROM', 'Detention']","['select', 'datetime_detention_start', ',', 'datetime_detention_end', 'from', 'detention']",Show the detention start time and end time of the detentions.,"['Show', 'the', 'detention', 'start', 'time', 'and', 'end', 'time', 'of', 'the', 'detentions', '.']","{'from': {'table_units': [['table_unit', 13]], 'conds': []}, 'select': [False, [[0, [0, [0, 46, False], None]], [0, [0, [0, 47, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",477,1.3265555613965849e-05
customers_and_orders,"SELECT product_name FROM Products WHERE product_type_code  =  ""Hardware"" ORDER BY product_price ASC","['SELECT', 'product_name', 'FROM', 'Products', 'WHERE', 'product_type_code', '=', '``', 'Hardware', ""''"", 'ORDER', 'BY', 'product_price', 'ASC']","['select', 'product_name', 'from', 'products', 'where', 'product_type_code', '=', 'value', 'order', 'by', 'product_price', 'asc']",Show all hardware type products in ascending order of price.,"['Show', 'all', 'hardware', 'type', 'products', 'in', 'ascending', 'order', 'of', 'price', '.']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 3, False], None]]]], 'where': [[False, 2, [0, [0, 2, False], None], '""Hardware""', None]], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 4, False], None]]], 'limit': None, 'intersect': None, 'union': None, 'except': None}",259,8.499981821373556e-06
warehouse_1,SELECT sum(T1.value) FROM boxes AS T1 JOIN warehouses AS T2 ON T1.warehouse  =  T2.code WHERE T2.location  =  'Chicago' OR T2.location  =  'New York',"['SELECT', 'sum', '(', 'T1.value', ')', 'FROM', 'boxes', 'AS', 'T1', 'JOIN', 'warehouses', 'AS', 'T2', 'ON', 'T1.warehouse', '=', 'T2.code', 'WHERE', 'T2.location', '=', ""'Chicago"", ""'"", 'OR', 'T2.location', '=', ""'New"", 'York', ""'""]","['select', 'sum', '(', 't1', '.', 'value', ')', 'from', 'boxes', 'as', 't1', 'join', 'warehouses', 'as', 't2', 'on', 't1', '.', 'warehouse', '=', 't2', '.', 'code', 'where', 't2', '.', 'location', '=', 'value', 'or', 't2', '.', 'location', '=', 'value']",What is the total value of boxes located in Chicago or New York?,"['What', 'is', 'the', 'total', 'value', 'of', 'boxes', 'located', 'in', 'Chicago', 'or', 'New', 'York', '?']","{'from': {'table_units': [['table_unit', 1], ['table_unit', 0]], 'conds': [[False, 2, [0, [0, 7, False], None], [0, 1, False], None]]}, 'select': [False, [[4, [0, [0, 6, False], None]]]], 'where': [[False, 2, [0, [0, 2, False], None], '""Chicago""', None], 'or', [False, 2, [0, [0, 2, False], None], '""New York""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1708,7.074970970720504e-06
conference,SELECT DISTINCT conference_name FROM conference,"['SELECT', 'DISTINCT', 'conference_name', 'FROM', 'conference']","['select', 'distinct', 'conference_name', 'from', 'conference']",What are the different conference names?,"['What', 'are', 'the', 'different', 'conference', 'names', '?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [True, [[0, [0, [0, 2, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1056,7.634252519111592e-06
advertising_agencies,"SELECT agency_id ,  agency_details FROM Agencies","['SELECT', 'agency_id', ',', 'agency_details', 'FROM', 'Agencies']","['select', 'agency_id', ',', 'agency_details', 'from', 'agencies']",What are all the agency ids and details?,"['What', 'are', 'all', 'the', 'agency', 'ids', 'and', 'details', '?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 1, False], None]], [0, [0, [0, 2, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",2060,1.0695253472982182e-05
country_language,"SELECT name FROM languages WHERE name LIKE ""%ish%""","['SELECT', 'name', 'FROM', 'languages', 'WHERE', 'name', 'LIKE', '``', '%', 'ish', '%', ""''""]","['select', 'name', 'from', 'languages', 'where', 'name', 'like', 'value']","What are the names of languages that contain the word ""ish""?","['What', 'are', 'the', 'names', 'of', 'languages', 'that', 'contain', 'the', 'word', '``', 'ish', ""''"", '?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 2, False], None]]]], 'where': [[False, 9, [0, [0, 2, False], None], '""%ish%""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1362,6.980979415315269e-06
warehouse_1,"SELECT count(*) ,  warehouse FROM boxes GROUP BY warehouse","['SELECT', 'count', '(', '*', ')', ',', 'warehouse', 'FROM', 'boxes', 'GROUP', 'BY', 'warehouse']","['select', 'count', '(', '*', ')', ',', 'warehouse', 'from', 'boxes', 'group', 'by', 'warehouse']",Find the number of boxes saved in each warehouse.,"['Find', 'the', 'number', 'of', 'boxes', 'saved', 'in', 'each', 'warehouse', '.']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[3, [0, [0, 0, False], None]], [0, [0, [0, 7, False], None]]]], 'where': [], 'groupBy': [[0, 7, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}",1751,8.013049749695141e-06
aan_1,"SELECT T3.name ,  count(*) FROM Citation AS T1 JOIN Author_list AS T2 ON T1.cited_paper_id  =  T2.paper_id JOIN Author AS T3 ON T2.author_id  =  T3.author_id GROUP BY T2.author_id ORDER BY count(*) DESC LIMIT 1","['SELECT', 'T3.name', ',', 'count', '(', '*', ')', 'FROM', 'Citation', 'AS', 'T1', 'JOIN', 'Author_list', 'AS', 'T2', 'ON', 'T1.cited_paper_id', '=', 'T2.paper_id', 'JOIN', 'Author', 'AS', 'T3', 'ON', 'T2.author_id', '=', 'T3.author_id', 'GROUP', 'BY', 'T2.author_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 't3', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'citation', 'as', 't1', 'join', 'author_list', 'as', 't2', 'on', 't1', '.', 'cited_paper_id', '=', 't2', '.', 'paper_id', 'join', 'author', 'as', 't3', 'on', 't2', '.', 'author_id', '=', 't3', '.', 'author_id', 'group', 'by', 't2', '.', 'author_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Find the name and number of citations of the author who has most citations among all authors?,"['Find', 'the', 'name', 'and', 'number', 'of', 'citations', 'of', 'the', 'author', 'who', 'has', 'most', 'citations', 'among', 'all', 'authors', '?']","{'from': {'table_units': [['table_unit', 3], ['table_unit', 2], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 11, False], None], [0, 7, False], None], 'and', [False, 2, [0, [0, 8, False], None], [0, 4, False], None]]}, 'select': [False, [[0, [0, [0, 5, False], None]], [3, [0, [0, 0, False], None]]]], 'where': [], 'groupBy': [[0, 8, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}",1015,0.06632488628050244
